id;content_object_id;tag_id
1822;352;196
1823;352;197
1824;352;198
1825;352;199
1826;352;20
1827;352;25
1833;354;138
1834;354;38
1835;354;204
1836;354;191
1837;354;127
1838;354;196
1839;354;205
1840;354;20
1850;356;213
1851;356;162
1852;356;214
1853;356;215
1854;356;113
1860;358;218
1861;358;219
1862;358;220
1863;358;221
1864;358;113
1871;361;225
1872;361;226
1873;361;227
1874;362;225
1875;362;226
1876;362;227
1882;364;235
1883;364;170
1884;364;236
1885;364;78
1886;364;238
1887;364;239
1894;366;241
1895;366;242
1896;366;243
1897;366;110
1898;366;25
1899;366;244
1906;368;251
1907;368;252
1908;368;253
1915;372;256
1916;372;257
1917;372;258
1918;372;259
1919;372;260
1920;372;261
1921;372;262
1922;372;39
1923;373;256
1924;373;257
1925;373;258
1926;373;259
1927;373;260
1928;373;261
1929;373;262
1930;373;39
1943;376;271
1944;376;272
1987;383;279
1988;383;280
1989;383;281
1990;383;282
1991;383;283
1992;383;284
1993;383;285
1994;383;286
1995;384;279
1996;384;280
1997;384;281
1998;384;282
1999;384;283
2010;385;286
2011;386;279
2012;386;280
2013;386;281
2014;386;282
2015;386;283
2016;386;284
2017;386;285
2018;386;286
2019;387;281
2020;387;287
2021;387;288
2022;388;88
2023;388;289
2024;388;290
2025;388;291
2026;388;292
2027;388;281
2028;388;293
2029;389;88
2030;389;289
2031;389;290
2032;389;291
2033;389;292
2034;389;281
2035;389;293
2036;390;294
2037;390;296
2038;390;297
2039;390;298
2040;390;299
2041;390;300
2042;391;149
2043;391;301
2044;392;149
2045;392;301
2046;393;138
2047;393;112
2048;393;302
2049;393;303
2050;393;304
2051;394;305
2052;394;306
2053;394;307
2054;394;308
2055;395;309
2056;395;310
2057;395;311
2058;395;115
2059;396;309
2060;396;310
2061;396;311
2062;396;115
2063;397;309
2064;397;310
2065;397;311
2066;397;115
2067;398;309
2068;398;310
2069;398;311
2070;398;115
2071;399;309
2072;399;310
2073;399;311
2074;399;115
2075;400;309
2076;400;310
2077;400;311
2078;400;115
2079;401;309
2080;401;310
2081;401;311
2082;401;115
2083;402;309
2084;402;310
2085;402;311
2086;402;115
2087;403;309
2088;403;310
2089;403;311
2090;403;115
2091;404;309
2092;404;310
2093;404;311
2094;404;115
2095;405;309
2096;405;310
2097;405;311
2098;405;115
2099;406;309
2100;406;310
2101;406;311
2102;406;115
2103;407;137
2104;407;267
2105;407;309
2106;407;25
2107;407;254
2108;408;313
2109;408;25
2110;408;314
2111;408;315
2112;409;281
2113;409;280
2114;409;25
2115;409;316
2116;409;318
2117;409;319
2118;410;281
2119;410;280
2120;410;25
2121;410;316
2122;410;318
2123;410;319
2124;411;281
2125;411;280
2126;411;25
2127;411;316
2128;411;318
2129;411;319
2130;412;281
2131;412;280
2132;412;25
2133;412;316
2134;412;318
2135;412;319
2136;413;281
2137;413;280
2138;413;25
2139;413;316
2140;413;318
2141;413;319
2142;414;281
2143;414;280
2144;414;25
2145;414;316
